Actual_Result,Result,id
Positive,Positive, A24WYPFHN50TO3
Positive,Positive, AFXH1AL7PWZM3
Positive,Positive, A2V666ZHFI8W7C
Positive,Positive, AN5AWX0991C0R
Positive,Positive, A38A5CHJOP0QK
Negative,Positive, A1U9DCAOZI5DG6
Positive,Positive, ALYQKDP5UBDPF
Positive,Positive, A1UWDSPLPR4D65
Positive,Positive, A2T4Z1QT8PHFQP
Positive,Positive, A2QCWTP38JCU6W
Negative,Positive, ARN3S6X2HZSHX
Negative,Positive, A15PIR4ZL6NWJS
Neutral,Positive, AXU666EWJHI6F
Negative,Positive, A3F92R4C52YYLP
Positive,Positive, A2MGRGKOMPJRHO
Positive,Positive, A39S7TURN5JX10
Positive,Positive, AHCL44W71DFRD
Positive,Positive, A18USYALJVB6VF
Neutral,Positive, A39I4MMG90RXYF
Neutral,Positive, A1Z4YM8P744AAY
Positive,Positive, A2400Y26LO4ERU
Positive,Positive, A3H0WH5M1XZ9QZ
Positive,Positive, A2GTZLTKTHFA4Y
Positive,Positive, AD4MTUYPVTPYA
Neutral,Negative, AV3VYWVLAWZH1
Positive,Positive, AZ3W4EMI9EP40
Positive,Positive, A33TX999QGVLGC
Positive,Positive, A1YWH0UQK3GDYX
Positive,Positive, A1JB2XKGXDHESC
Negative,Negative, A2B11GDVADSKBJ
Positive,Positive, A1RKAYUPR87GLZ
Positive,Positive, A1TADXGPC02QJ3
Positive,Positive, AMWM8D4PKLHD4
Positive,Positive, A2UMQZROH7TTE9
Negative,Positive, A2YV51L9Y7CJSL
Positive,Positive, A1YS2F64SMD9K3
Positive,Positive, A3OC8L4Y9W3Z3Q
Neutral,Negative, AZBQ6BTEKR206
Positive,Positive, AMTL4BAJ9Y0GY
Positive,Positive, A21ZMOHKFP4Y3X
Positive,Positive, A21E7YWCYQ4JVG
Negative,Positive, A2P62BMGSXLI4L
Positive,Positive, A2R7COL0QTKGCT
Negative,Positive, A401Q1453L8H4
Positive,Positive, A1DOJEUQP31BFF
Positive,Positive, A366BAM0X3M82B
Positive,Positive, A6W6EBWY0YRU3
Neutral,Positive, A2CQ33QNTEACL1
Negative,Negative, A256S9HAUEJGKC
Positive,Positive, A75XCKECDOSKQ
Positive,Positive, A2Z88NUDOYHJPF
Positive,Positive, A1TFH58BMFJCR3
Negative,Positive, AURFYF0YIUPHA
Positive,Positive, A1AB7I5TFI0BOX
Positive,Positive, AISS9GV3QHODG
Positive,Positive, A395BHA2M16LU9
Positive,Positive, A3RNBNEKO1T7HG
Positive,Positive, A2AP5ODEOVAPW3
Neutral,Positive, A3DTZTXDHK08EF
Positive,Positive, A2T9SUT1B46N0X
Positive,Positive, A3POJBAKVXRFVE
Positive,Positive, A2CLBJMY3AL7Y7
Positive,Positive, AFHVXY2F2I7NQ
Positive,Positive, A2KS9W8Q6EQXS1
Positive,Positive, A153JKH35P5N2I
Positive,Positive, A1TR1WPZMKVNPG
Positive,Positive, AXMBTYJE3Q4PH
Positive,Positive, A1EEKB1BG7J9NU
Positive,Positive, A1DQR761JMVROA
Positive,Positive, AGORBJ9TB8LMT
Positive,Positive, A2QQ3O57JPTGJA
Positive,Positive, A1RJQ5S8WI970S
Neutral,Positive, A10KH5JPZ2W9W1
Positive,Positive, A1TKV1GMR52KNQ
Positive,Positive, A1BFNBD9CPHHSW
Positive,Positive, A27M75LRSJ788H
Positive,Positive, A115X7RPG5SW1Q
Positive,Positive, A3IAFP15B9LYIB
Positive,Positive, AUQ9VD7ZI9XCY
Positive,Positive, A2AUTFAAY9WLC3
Positive,Positive, A2Q2PBYEP3YOOE
Positive,Positive, N/A
Positive,Positive, A282ELRCQ9BYN6
Negative,Positive, A39MJOBEC5EK1Y
Negative,Negative, A2Z03AHDR23SJI
Negative,Positive, A2B1OZ90YI8BN3
Positive,Positive, A377Z3QKJRJBN2
Positive,Positive, A8Q2Z7AVXN38N
Positive,Positive, A2MQSRO70U8SW2
Positive,Positive, A3KUYRGJPB3TU2
Positive,Positive, A3UCBOP5ST6YKU
Positive,Positive, A2OJIN3D2UEF0U
Positive,Positive, A1OGWT1GKBON31
Neutral,Positive, A3L740NLT30PBH
Positive,Positive, A3MG3BP7HGQSTG
Positive,Positive, A3K89XBMMXALHD
Positive,Positive, A2ZOVD66BD9AJE
Positive,Positive, A2KXBXI06WIMD6
Positive,Positive, A1I1C3O6VQHVWP
Positive,Positive, A3QX2R9XU7EEBP
Positive,Positive, ARAMY0NLP82RN
Positive,Positive, A2IZCD82I674OC
Positive,Positive, A2IDRAYYZ5GKBZ
Positive,Positive, A3MWGFFHZPUA3H
Positive,Positive, A1DPJ7U6W81M5O
Positive,Positive, A3V3TYE4BIKBO4
Positive,Positive, AGT3HO4YWFZ66
Positive,Positive, AH9BR5SPRELQ5
Positive,Positive, A1XBS412F5BNVH
Positive,Positive, A11ZGKQVBP6HZO
Positive,Positive, APN1NUCLQH96
Positive,Positive, A17BYE94NJFW51
Positive,Positive, A2KDUPF729ACG0
Neutral,Positive, ALJA7E4WGEL83
Positive,Positive, A36Y60UM5UV4FY
Positive,Positive, A12HP10JEAQ6AC
Positive,Positive, A2DKT52VOXP3GT
Positive,Positive, A2H05D2NQ7OFY1
Positive,Positive, A17O8V6BKSF2EB
Negative,Negative, AZ8XHDB4CZXW7
Negative,Positive, A2QCERE9STSAG0
Neutral,Positive, A3OLV0T5OQLLMW
Positive,Positive, A1Z07022505KK4
Positive,Positive, A17GE65O0WR3SJ
Positive,Positive, A23RV2X3JSQR1T
Positive,Positive, A3F4S0BMNXDNDE
Positive,Positive, AFB3YWDB6X5JJ
Positive,Positive, ACVAUIL64MFQ7
Positive,Positive, A3R1I1RC9S35Z5
Positive,Positive, A3RYF43K6R3OYP
Positive,Positive, A117976EVMGNVY
Neutral,Positive, A1CSWUO6VLA6KL
Positive,Positive, N/A
Positive,Positive, A1D25H5FW7R72V
Positive,Positive, AQH5QZK5KCYNI
Positive,Positive, A2D83ZOOMODLX6
Positive,Positive, AK7MLZ8TW48L6
Positive,Positive, A3EQTMHQJGCRRI
Positive,Positive, AKSJJ83JUBU3J
Positive,Positive, A391IJ2DH5JJ7O
Positive,Positive, AKZ94Z6B4AAK0
Positive,Positive, A254JU5MYX496C
Positive,Positive, AU34HJIHLJ79S
Neutral,Positive, A1H316T0XK1L7V
Neutral,Positive, A2WB56A1VSDJP7
Positive,Positive, A3QLRIJSIPOT7F
Positive,Positive, AX22OAYBHLWWG
Positive,Positive, A2TJPQ6WS835E7
Positive,Positive, A3HV0Y0011MAS4
Positive,Positive, A2FOBO0YR6ECQ3
Positive,Positive, A1BIT6RE2B0U8W
Positive,Positive, A2D7UL961PHQN8
Neutral,Positive, A3MJFSHMBS6ULL
Positive,Positive, A2CPGJAZXK69J7
Positive,Positive, AH8CRFZMQ5BH2
Positive,Positive, AADNNPWOKR5DN
Positive,Positive, A1GAXGAADOYQR0
Positive,Positive, A3K1CJV3WNA702
Negative,Positive, A3OO1GKZNM0NQI
Neutral,Positive, A173905LR39L76
Positive,Positive, A11N71M76XC42V
Positive,Positive, A16P78H9K4R5C9
Positive,Positive, A2BSKQ0W5KF7YT
Positive,Positive, A9T3JU4D8V4GD
Positive,Positive, A2NWNE71RNC6N4
Positive,Positive, AUCWDQIREGOJ1
Neutral,Positive, A2X1WO0VOAH0I4
Positive,Positive, A3VXEMCIK1UMYS
Positive,Positive, A1N54CC102CRVU
Positive,Positive, A74KX3LLZH4SO
Positive,Positive, A7M891GL37EYB
Negative,Positive, A27BHXBB3KOMOK
Positive,Positive, A10IOBLYE3XGCK
Positive,Positive, A9Q9JNOMYTJO9
Positive,Positive, AXNRZFCFIIA9G
Positive,Positive, A3K6ILB63M6FRA
Positive,Positive, AGF7BHKPVO8DV
Positive,Positive, A29PLDUX3STR8M
Neutral,Positive, ANNKVT2C0YGQ3
Neutral,Positive, A1UJIFXCN4JQG
Negative,Positive, A2MM09W09BDM42
Positive,Positive, A3B6FYZ0EOEONH
Positive,Positive, A2CJTTCFMZGCP1
Positive,Positive, A2F11FH9F8XYW6
Positive,Positive, A33ZU3UG5WV5AC
Positive,Positive, AE2N7NUEDBT8X
Positive,Positive, A1BZEKNPSSX9H3
Positive,Positive, A1IX99MRJV18NN
Neutral,Negative, AW2FPPT8TXQC8
Negative,Positive, A2HVMITCYTDJ46
Positive,Positive, A25UIX72MYGPDS
Negative,Positive, A3F6ZX43K2AV99
Positive,Positive, A3LJLRIZL38GG3
Positive,Positive, ALJBZLLNK3AJ3
Positive,Positive, A3LNOHEQD7L7UM
Positive,Positive, AMDR18UVS3RHU
Positive,Positive, A2H62L964QKTT6
Neutral,Positive, A2HWX7FJVC9XEO
Positive,Positive, A2RPWF1JOCN66M
Positive,Positive, A1H0XEM4D6M3NM
Neutral,Positive, A2O535IU2VKLZJ
Positive,Positive, AHTO9OJHBW1MO
Positive,Positive, AGYIRORKDHKGU
Positive,Positive, A13BAN62FI9W7V
Negative,Positive, A2KHO1UIP0DOA3
Neutral,Positive, A17A1YMPGE8XQJ
Neutral,Positive, A3VYPD5HQKTRY
Positive,Positive, A3OVCM01WKFZW2
Positive,Positive, AAUZ79CDTSVCP
Negative,Positive, A3KKKG6I0CDFFD
Negative,Positive, A2F93YYMS560FG
Positive,Positive, AAEQ6G5HXOUM
Neutral,Positive, AQT7OZT89BGQ2
Positive,Positive, AD9KGOO64IO80
Positive,Positive, AUDQWMBWV44HS
Positive,Positive, A33B7E8PMGUKXL
Positive,Positive, A1NBEGPWXLAHEP
Negative,Positive, A2WS6KC2RP8D6L
Positive,Positive, A31L0UQ8ODGP5X
Positive,Positive, A200KG6INYGHQV
Positive,Positive, A26CVX8L74IAFS
Positive,Positive, AACFGPC6HXV56
Positive,Positive, A31HDEWDK5BV0W
Positive,Positive, A281O39V8643
Positive,Positive, AP5H04SL2HNQJ
Positive,Positive, ACOJUE4JOJCWR
Positive,Positive, A1NJIDYE2D5Z66
Negative,Positive, A3F7UHXY1OPCD6
Positive,Positive, A3R2YZPJ1OY8OK
Positive,Positive, A2GJVJLAD6NZF6
Positive,Positive, A2FD0N9BA4RQLK
Positive,Positive, A1ZIS7FV4PHCB1
Positive,Positive, A1HACDWC19OZRW
Positive,Positive, A27MO3U923L2N7
Positive,Positive, A1I34Y8LIG9XR3
Positive,Positive, A26ZBP26HNC1VQ
Positive,Positive, A96LFE9N5193C
Positive,Positive, A1NG6A01QM2HF7
Positive,Positive, AFEA2SA04FGVS
Positive,Positive, A2JW5LL1KZWZAH
Positive,Positive, A3N72O09JV6JR
Positive,Positive, A261P36T13YP98
Positive,Positive, A1HHA96K8BWA7S
Neutral,Neutral, A1BC4YWR3VDN
Positive,Positive, A2F4FJ3BIZ68GJ
Positive,Positive, ACYEZ9HCDNYCY
Positive,Positive, A1W3SJDA7AHXW2
Neutral,Positive, A1T5SIV8M5N7LB
Positive,Positive, A2I5YI2C8MNFAD
Neutral,Positive, A1U6CREM97G8CH
Positive,Positive, A2JXESFZ7LF80R
Positive,Positive, A2UPXNI91FGCPV
Positive,Positive, A3CPW0TZ83DVVF
Positive,Positive, A3ZTLNVMDQNBP
Positive,Positive, A3CJY1A1F1VUD0
Positive,Positive, AOY9U1CX1241
Positive,Positive, A23GBH7IJZD6HK
Positive,Positive, A3CYHUSLVQHHBL
