Actual_Result,Result,id
Positive,Positive, A2D9O07JLXAUS6
Positive,Positive, A1VZTGBK9V5LP5
Positive,Positive, A3AF7N2N36PMA0
Positive,Positive, A3VNBBNN6W67U1
Positive,Neutral, A1HXCKGPMBDSK2
Positive,Positive, A1I4K4T4LT0LNX
Positive,Positive, A1BLETTV79FTLJ
Positive,Positive, AZH9WE7AMA47V
Positive,Positive, A19W23AMKQ04VV
Positive,Positive, A1MBVQ3UWJV9BK
Positive,Positive, A1VEHEH3CN8LPG
Negative,Negative, A2PYNZLMI0NO08
Positive,Positive, A34UB2EJV7TIYC
Positive,Positive, A3SUJ2CHOSHMW2
Positive,Positive, A2Y0WKK1LEID5V
Positive,Positive, AJ6655BK9JNQQ
Positive,Positive, A14VGDLNBKKNA7
Negative,Negative, A2LVFDB4VNKMM1
Positive,Positive, A34VK0Q3YBTW1J
Positive,Positive, A25TC92SYEPVPL
Positive,Positive, A2PR7TPHV6XJ2I
Positive,Positive, A1C6TJ53ASU6K4
Positive,Positive, A2IG4P8GE38XSP
Positive,Positive, AAZ9T1SCH558X
Positive,Positive, A3O31OVJGHIIO3
Positive,Positive, A2Y5RT5JHB1O4Z
Positive,Positive, A2GD0Y5RBBN6LZ
Positive,Positive, ASJD3TT1PF8ZY
Positive,Positive, A348DJUOJIYM1Y
Positive,Positive, A124EW7FZHG3ND
Negative,Negative, ABG20YBQ7GBNS
Positive,Positive, A2L3HZ36FQTDF6
Positive,Positive, ADN0HW3DZCKI2
Positive,Positive, ARFWO99NLYCT7
Positive,Positive, A2JCLSTXMOY6L0
Positive,Positive, A31S7BUH1EJKBS
Positive,Positive, A1J2CNYT6W37UM
Positive,Positive, A3JGB1LILHDP5F
Positive,Positive, A2KTQLCQUO05K9
Positive,Positive, ANXZVARFG2VE9
Positive,Positive, A1I2FG6J6CYQ58
Positive,Positive, AXKYV5H8BP3P7
Positive,Positive, A1G44CSFS5AF6B
Positive,Positive, ALWJG99ZEGUSS
Negative,Negative, A1P9PZKUKWCXLW
Negative,Negative, A19OILQO5KDYF2
Positive,Positive, AN8MJ0DTB34HZ
Positive,Positive, AGGZQPXSWZ1YZ
Neutral,Negative, A2GYUX5R3RU9T9
Positive,Positive, A3FBOUQQWKO2T2
Positive,Positive, A2FWAI9NA73219
Neutral,Neutral, A20YOYU0PYORLV
Positive,Positive, A2ZLIURZI0YEE8
Positive,Positive, A2OMUPXUIS54ZE
Negative,Negative, A2FIMTI4UT1Q80
Neutral,Neutral, A32NZK5H2NIM13
Positive,Positive, A39LUWJTJDUMI1
Neutral,Negative, A3JNEQAX2XKSXP
Positive,Positive, A1CQQQ8WREB3TA
Positive,Positive, A24M30M7L1KAP4
Positive,Positive, A3P3SB0GTPMWH9
Positive,Positive, AHSKWLO0RZ33H
Positive,Positive, A2I5TRD7AOSLR2
Positive,Positive, AHYPRXI7F5QXS
Positive,Positive, A2YYXTT1SVSXEO
Positive,Positive, A3NJKW6CR0HD4Y
