Actual_Result,Result,id
Positive,Positive, A3V2NRYB4WF0Z6
Positive,Positive, A3FRO9D129W59C
Positive,Positive, A03966943FLHGXYQ0J2M2
Positive,Positive, A1KAMUAJ3AJ5LR
Neutral,Neutral, A3LMTZW824WDFN
Positive,Positive, A2T67ULKWM316X
Positive,Positive, A7VJO90T14O4V
Positive,Positive, A2W7YEWTYFBOFG
Positive,Positive, A1CKEEC3Z87F0Z
Positive,Positive, A38NJEQR8N3VOJ
Positive,Positive, AKWFOST6AGF1A
Positive,Negative, AFYMU8ZB4FZZ
Positive,Positive, A2E4MER322KH60
Neutral,Neutral, A1MH223BYTBLQA
Positive,Positive, A1QK62TAPA9ZYL
Positive,Positive, A3L70QGK78D8AK
Positive,Positive, A81LI3EDRMJZ8
Neutral,Positive, A2QFSYMM4GSCN9
Positive,Positive, A3E5FOK3QKWJVW
Negative,Negative, A33BKNMDNV9OKO
Positive,Positive, A3NJGSXP10M3EO
Positive,Positive, A2Y05FSM03VCVG
Neutral,Neutral, A2S270FQQBHOL1
Positive,Neutral, AD4A426DZ92E6
Positive,Positive, A254XXXDI66JEN
Positive,Positive, A16A49TPIHCKFO
Positive,Positive, A2JQKSRNYZRZNF
Positive,Positive, A22APTMUFIJRYB
Positive,Positive, A1B4YLCAV72YUC
Positive,Positive, A1QFCY5YN67TKP
Positive,Positive, A1644XMWSR5N9P
Positive,Positive, A1HYQWIKTQNBZD
Positive,Positive, A3NGBHS8CMNI5E
Positive,Positive, A3W5D4L9FICA7
Positive,Positive, AQ2KRI2EG6SUE
Positive,Positive, A2GR0DUPF0N5DV
Positive,Positive, A3SA965LNISO22
Positive,Positive, A3LOPBOQRKXRV5
Negative,Negative, A29RM2ODKXM0Y4
Positive,Positive, A3PTZFRD34YJ2P
Positive,Positive, A1HG6G029EQVZX
Positive,Positive, AE5I8K2D48E79
Positive,Positive, A21YYR0GJMJTC4
Positive,Positive, A1TJPQDW2GB5X8
Positive,Positive, AZQQJREPRVWUO
Positive,Positive, A2EMT2T8ZQ617V
Positive,Positive, A9RTWNPKUN2YI
Positive,Positive, A2A2ZM3I40JWUB
Negative,Positive, ASYXSXNSKAI8N
Positive,Positive, AZ305EJMADE9T
Negative,Negative, AKXQEJHMJ22JC
Negative,Negative, A14C9MYSXBIVIU
Positive,Positive, A1C40YT3JL1QR2
Positive,Positive, A3UNYYQGZPJQNA
Positive,Positive, AK21NXL3CE8EP
Negative,Negative, A2CZHO9KSTTHTQ
Positive,Positive, ARXLXD4LGIW19
Positive,Positive, AXU7MB7KJKAVA
Positive,Positive, A1TQT9JZGT0P45
Positive,Positive, A8NZ3A6JBLQ0M
Positive,Positive, A3CKN0SI8KD7PC
Positive,Positive, AYPA9C14PU5DT
Negative,Negative, A2LYVA4Z9QWYIZ
Neutral,Negative, ALF8VV929IDSD
Positive,Positive, A1OLQV870GUWKC
Positive,Positive, A39KW3UOYNDWS9
Neutral,Negative, A2O060YTL3AQIP
Positive,Positive, A2F937I4Q2L3BS
Positive,Positive, A38P6W4N3M9QX
Positive,Positive, A10T7C2Y6O3MO2
Positive,Positive, A28PGS2YT50031
Positive,Positive, A12050F9B0AUOD
Positive,Negative, A3HBX76MQIJA9Y
Positive,Positive, A3KDPBXNNOC7Y5
Positive,Positive, A2ZWUR5B7K7825
Positive,Positive, A3OKFHSGECX29D
Positive,Positive, A3DQKWY0JBJ2FH
Positive,Neutral, A1A4PPEBD6X9EP
Neutral,Positive, A2C2QK5UVIY8H4
Positive,Positive, A2WNVCJCFE82QB
Positive,Positive, A1ZONPVLYPO1MT
Neutral,Positive, A2NWCD8VDZF1HD
Neutral,Neutral, A3B1OIVLLIWKFY
Negative,Negative, A14CDEVBVTOB0B
Positive,Positive, A22CQYBLG764CE
Positive,Positive, A1GED3C27XO5YE
Positive,Positive, ATOKBBIF3E4I2
Positive,Positive, A3TKK8O8NMBBG9
Positive,Positive, A1GWG6ZHUG8TB7
Positive,Positive, A3TZXVUFB3RNCI
Positive,Positive, ABI4FWGNTGY8P
Positive,Positive, A3W4W3XNNS5O7U
Positive,Positive, AZ305EJMADE9T
Positive,Positive, A330JIBCX7YAXK
Positive,Positive, A1JQCTA2LQ53G2
Positive,Positive, A3IDL8A8WHXTQA
Negative,Negative, A2N7KBPNL9QOYW
Positive,Positive, A3SVN783XMJUDR
Positive,Positive, ACEJGNDIJ44VQ
Positive,Positive, A3QXLT7SOW6XC7
Positive,Positive, AIJOX7T20HN
Positive,Positive, A2KVCZP7QD62Z1
Positive,Positive, A9VGIPAP38VU
Negative,Positive, A2XQEU59A2IOJ9
Positive,Positive, A1N730LW9QRBVK
Negative,Positive, A1YFMKO8JTHO2
Positive,Positive, A1C7O5CXFOKMBY
Positive,Positive, A2HMEM61S4BQY5
Neutral,Positive, AGE7UA64F0JK3
Positive,Positive, A3DTZTXDHK08EF
Positive,Positive, A2PEIERQZR3COP
Positive,Positive, A1B5Z1PDC1V2AP
Positive,Positive, A1I8S336T309OS
Positive,Positive, A20IU6Y8GPDRLZ
Positive,Positive, A1GISC9UX9KPM3
Positive,Positive, ALC7WI148RBZO
Positive,Positive, A2MWO7AU45E6FF
Neutral,Positive, A1QV5PWVVVWPFF
Positive,Positive, A23G8YQIXPQGDJ
Positive,Positive, A2GPLCC9NCKM63
Positive,Positive, A3B34TZQ0PNQ2H
Positive,Positive, A2HMYFTJ03OUV6
Positive,Positive, A1TCH2FAFOYED7
Negative,Neutral, A3FUDYT18VOZK8
Positive,Neutral, A2B9W837JNKCAQ
Positive,Positive, A8W661ZD1RDAM
Neutral,Neutral, A2178S79JG9P9H
Positive,Positive, A2SXW8GLDGKICE
Positive,Positive, A1GW922HWTQRNC
Positive,Positive, A3P4QLLWXZTYYV
Positive,Neutral, AOD6SI4CEXXYD
Positive,Positive, AWP5JQ6HW1U7Y
Positive,Positive, A3D9GEWIF6W2P0
Positive,Positive, A1PD2IY2BKCMSA
Positive,Positive, AXKIWI7TSW4FA
Positive,Positive, AOUR7H6KI681G
Positive,Positive, A321B67IF8S6OM
Positive,Positive, A2CAFQAS8YQ10E
Positive,Positive, A2TY8RN9KEPBIY
Positive,Positive, A24EWQN38PYHQO
Positive,Positive, A3O5U7W22JTX5S
Negative,Positive, A1F1MG0U4P6UGU
Positive,Positive, A31VT4JNN6QZJK
Positive,Positive, AD5EXLI0MWSM8
Positive,Positive, A1Z6Q29ABUKEVO
Negative,Negative, A3GTXKDMGGM2AJ
Positive,Positive, A35I6P07GOHF0E
Positive,Positive, A13ID1461VJG8B
Positive,Positive, A2C6X08K7QF4L8
Positive,Positive, A3PB4BAT7VPPM1
Positive,Positive, AQMUE615C7MC
Positive,Positive, A2HWT0RIFR9XHI
Positive,Positive, AFEIV7BQVV0PR
Positive,Positive, N/A
Neutral,Neutral, AEXVEGSN7XGGD
Positive,Positive, A1B6M3BUNO8U82
Positive,Positive, N/A
Positive,Positive, A5PXN1N7SH7CJ
Positive,Positive, A33JWBSV7T8JOO
Positive,Positive, A1LX88HHIFC454
Positive,Neutral, A3PP04QSE7ZZ1S
Positive,Positive, A1DTQXBQH1A2J1
Positive,Positive, A2F4J616OFEMMA
Negative,Neutral, A31Z2UWIZ4UDIF
Neutral,Neutral, A3D4IZSGNKP8RT
Positive,Positive, A2Z6PZXOS689HT
Positive,Positive, A3AAJJOBI1TKC
Positive,Positive, A1N6K843L6M1E3
Positive,Positive, A1348Y6EOWGVL
Positive,Positive, A55H709WWNG0Q
Negative,Negative, AGYXWVA9S3TF8
Positive,Positive, A1ILABCIXTZ9GP
Positive,Positive, A1UN0ZNYDABRVL
Negative,Positive, A3SWZR1FN4G6GH
Positive,Positive, A2JXYUJUN4E6RJ
Positive,Positive, A352F0UVL50GS7
Positive,Negative, A5W8AEOXBYX7F
Neutral,Neutral, A2JMYB6AMTPJ5T
Positive,Positive, A32FXWE3QW4TRC
Positive,Positive, A1MDJAK9HEERT
Positive,Positive, ATCY42D3FLDJI
Positive,Positive, A1QYME05W1FWV
Positive,Positive, A7NRL3R5C0AL4
Negative,Negative, A6O6JCVYNTB74
Positive,Positive, A6OSDNASR0BVX
Positive,Positive, A1XP22C1M2V9IL
Positive,Positive, A3TCKXJSSIHXEW
Positive,Positive, A1F36BSEZT3IZG
Neutral,Positive, A3V8GP1DH9MFT7
Positive,Positive, AAKABZA8EP3H2
Positive,Positive, AONB5UVDEPSQK
Positive,Positive, A2708ZE62IKDON
Positive,Positive, AAIRR89N7E9RU
Positive,Positive, A2Z9E2DQJ67406
Positive,Positive, A1AGP574QVZSS2
Positive,Positive, A1YK5HAZ7WM15E
Positive,Positive, ASSVNMAOHSAZ8
Positive,Positive, A2RKMSO2RAIEWE
Negative,Neutral, A2GU4IYFN4CDS0
Positive,Positive, A38XYUIA53QNR8
Negative,Negative, A10MFXMHYFRT9K
Positive,Positive, A27CKQIH6DVRTT
Positive,Positive, A2F09C14Y8EILQ
Positive,Positive, A10HN33QOGU1BL
Positive,Positive, A6NGY1WUENA7X
Positive,Positive, A240FRPD4MEXND
Positive,Positive, AWSVPPLW7SNJG
Positive,Positive, A32I85X2255YG1
Negative,Negative, A2ARMUH2R6EJ5D
Positive,Positive, A2KLKWKCS586IG
Neutral,Negative, AFGOYU45CKES2
Positive,Positive, A1L6ZU33CNH7TM
Positive,Positive, A17T9A4GS6M7ZW
Positive,Positive, A3ISAZZ2MRKMJK
Positive,Positive, A2TVW0FUFF4ELI
Positive,Positive, N/A
Positive,Positive, A3DBSQFNYNZK
Positive,Positive, A3ER1X8C1ITY11
Positive,Positive, ASW3I4V90PWH4
Positive,Positive, A210SQOZVNM4Z0
Neutral,Positive, APYKGTU0LFICH
Positive,Neutral, A1365BZZ6NTK48
Neutral,Positive, A2DHAWJ96QTVIX
Positive,Positive, A2S85J50L51ZH
Positive,Positive, A17U4L8U2A0POL
Positive,Positive, A3B6FYZ0EOEONH
Negative,Positive, A218CKLEH28G6Y
Positive,Positive, A12IJHR73RDTV0
Positive,Positive, A300OSBN0HPWEV
Positive,Positive, AFKT62O9Z9CHS
Positive,Positive, A2H3THF5ZXF0F5
Positive,Positive, A2PS3XYXTFD6Q1
Negative,Negative, A326P80H2ZKN75
Neutral,Positive, AOAB7XEATC1J5
Neutral,Positive, A1KKXCG0T2R3DA
Neutral,Positive, A6PG24BYT1YF5
Positive,Positive, A3KL7ZYG9CWY82
Positive,Positive, A3W4KDZ9IWP2UD
Negative,Negative, A3PGZ2HPZAUFZ5
Positive,Positive, AJLWVR4ZOYL3S
Positive,Positive, A1WXYPC6SXNLYS
Positive,Positive, A1HZRYPIKZ646Z
Positive,Positive, A3TNYNA2360NPA
Positive,Positive, AKQDC8VR6FZHJ
Positive,Positive, A1EOQAX4BBFKBJ
Positive,Positive, A2QRUJQ4V9VD9C
Positive,Positive, A7N8P0QU8TL7M
Positive,Positive, A3LI841TZJKXYR
Positive,Positive, A38H7CKRFHIZ47
Neutral,Positive, AIS86CSBJZNCR
Positive,Positive, AOMD9HN907MYF
Positive,Positive, A17LPN07R3CAR3
Positive,Positive, A2B1KRAX78WCA7
Positive,Positive, A2NW9MYH09IDDY
Positive,Positive, A28SL7Q59BHS11
Positive,Positive, APFMC1Y4QUEOR
